GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gs-euromillions,sets,SetOfNaturals,0,35,0,4,0,8,0,5,0,3
gs-euromillions,sets,SetOfNumbers,37,109,6,12,11,26,7,12,2,8
gs-euromillions,ui,DemoMain,57,0,2,0,16,0,3,0,2,0
gs-euromillions,euromillions,Dip,28,195,5,19,8,44,6,15,1,8
gs-euromillions,euromillions,EuromillionsDraw,0,87,0,10,0,19,0,9,0,4
gs-euromillions,euromillions,CuponEuromillions,0,70,0,2,0,15,0,7,0,6
